Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/FCN/2020-06-21_09-57-36TO_TEST_SOURCE,4831,MeanOS,0.555680059,0.596411906,0.628142648,0.810064647,0.777239804,0.811914597,196,0.0001,0.828898542,81,0.593411538,0.799739683,0.072462589,0.034674793,0.631422692
models/FCN/2020-06-21_10-06-31TO_TEST_SOURCE,4831,MeanOS,0.575531325,0.566115423,0.621287097,0.792502218,0.819606502,0.815573799,171,0.0001,0.829660423,82,0.587644615,0.809227506,0.055171674,0.027104284,0.620885572
models/FCN/2020-06-21_10-15-25TO_TEST_SOURCE,4831,MeanOS,0.511504254,0.556266479,0.619199577,0.841526589,0.820216043,0.822454802,275,0.0001,0.842442667,83,0.562323437,0.828065811,0.107695323,0.021310546,0.598181774
models/FCN/2020-06-21_10-24-21TO_TEST_SOURCE,4831,MeanOS,0.574662973,0.569056465,0.667958009,0.794312854,0.803946491,0.80231459,171,0.0001,0.815261905,84,0.603892482,0.800191312,0.098901544,0.009633637,0.643804291
models/FCN/2020-06-21_10-32-22TO_TEST_SOURCE,4831,MeanOS,0.535440347,0.550268461,0.661217466,0.825159325,0.815562972,0.789837125,313,0.0001,0.829482098,85,0.582308758,0.810186474,0.125777119,0.0353222,0.626242929
models/FCN/2020-06-21_10-40-01TO_TEST_SOURCE,4831,MeanOS,0.488037772,0.524150485,0.655336973,0.858343248,0.836735174,0.790590526,321,0.0001,0.82936984,86,0.555841743,0.828556316,0.167299201,0.067752722,0.609042227
models/FCN/2020-06-21_10-47-43TO_TEST_SOURCE,4831,MeanOS,0.536297236,0.537383173,0.637516172,0.824332542,0.821956459,0.819570039,268,0.0001,0.844250582,87,0.57039886,0.821953013,0.101218936,0.004762503,0.606072226
models/FCN/2020-06-21_10-55-40TO_TEST_SOURCE,4831,MeanOS,0.495565494,0.546666383,0.645623712,0.854391697,0.798952466,0.79725841,274,0.0001,0.828880017,88,0.56261853,0.816867524,0.150058218,0.057133287,0.613073237
models/FCN/2020-06-21_11-03-27TO_TEST_SOURCE,4831,MeanOS,0.536214776,0.528586636,0.654220551,0.824494921,0.846705761,0.807378889,246,0.0001,0.837359212,89,0.573007321,0.82619319,0.125633915,0.039326872,0.613087824
models/FCN/2020-06-21_11-11-16TO_TEST_SOURCE,4831,MeanOS,0.537590523,0.553835845,0.585808577,0.824810783,0.801824867,0.840437323,252,0.0001,0.854152868,90,0.559078315,0.822357658,0.048218054,0.038612456,0.589865465
models/FCN/2020-06-21_11-19-04TO_TEST_SOURCE,4831,MeanOS,0.420939045,0.485008484,0.664916746,0.897391475,0.854115625,0.795526107,673,0.0001,0.815754515,91,0.523621425,0.849011069,0.243977701,0.101865368,0.605705147
models/FCN/2020-06-21_11-26-21TO_TEST_SOURCE,4831,MeanOS,0.520099456,0.531366718,0.619136586,0.834875455,0.838607712,0.811978702,300,0.0001,0.827688681,92,0.556867587,0.82848729,0.09903713,0.02662901,0.591638045
models/FCN/2020-06-21_11-32-52TO_TEST_SOURCE,4831,MeanOS,0.505159329,0.533213832,0.630497215,0.845242419,0.840436926,0.810661877,243,0.0001,0.830326923,93,0.556290125,0.832113741,0.125337886,0.034580542,0.595440928
models/FCN/2020-06-21_11-39-12TO_TEST_SOURCE,4831,MeanOS,0.566349314,0.55557257,0.617340531,0.802673085,0.801700949,0.836531814,248,0.0001,0.845367773,94,0.579754138,0.813635283,0.061767961,0.034830865,0.613086567
models/FCN/2020-06-21_11-45-42TO_TEST_SOURCE,4831,MeanOS,0.512510877,0.533943692,0.70558179,0.841942422,0.831454149,0.782368911,241,0.0001,0.815475894,95,0.58401212,0.818588494,0.193070913,0.059573511,0.64405409
models/FCN/2020-06-21_11-52-11TO_TEST_SOURCE,4831,MeanOS,0.425438475,0.46545209,0.662403779,0.895052322,0.864344081,0.787971635,798,0.0001,0.801077088,96,0.517764781,0.849122679,0.236965304,0.107080687,0.598717933
models/FCN/2020-06-21_11-58-46TO_TEST_SOURCE,4831,MeanOS,0.529457901,0.541326087,0.637367514,0.83029042,0.817478651,0.825902168,233,0.0001,0.838770702,97,0.569383834,0.82455708,0.107909613,0.012811769,0.605629255
models/FCN/2020-06-21_12-04-05TO_TEST_SOURCE,4831,MeanOS,0.456287061,0.513264479,0.651322627,0.876964444,0.856356657,0.800464454,567,0.0001,0.839003146,98,0.540291389,0.844595185,0.195035566,0.07649999,0.5999638
models/FCN/2020-06-21_12-09-25TO_TEST_SOURCE,4831,MeanOS,0.523618433,0.558359229,0.614787462,0.834716016,0.802624636,0.818804381,334,0.0001,0.835186048,99,0.565588375,0.818715011,0.091169029,0.03209138,0.601744219
